書名,ISBN,位置,url
基地與帝國,978-7-5399-4978-9,活動新聞福利,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/144/46/CN11444666.jpg&v=5ddec305k&w=250&h=250
蒼窮一粟,978-7-5399-6097-5,活動新聞福利,https://www.2015txt.com/uploads/cover/8720s.jpg
星空暗流,978-7-5399-6098-2,活動新聞福利,https://img9.doubanio.com/view/subject/l/public/s34281554.jpg
繁星若塵,978-7-5399-6099-9,活動新聞福利,https://upload.wikimedia.org/wikipedia/zh/d/d3/G02.jpg
銀河帝國 基地,978-7-5399-4979-6,不明,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/144/46/CN11444665.jpg&v=59881713k&w=375&h=375
銀河公民,986-173-108-3,1-2櫃（三大家）,https://cdn.readmoo.com/share/cover/le/9cn9qmb_460x580.jpg?t=1442898678
銀河便車指南,957-13-4380-3,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/upload/product/o/2682032162000/20211222124310635018.jpg
醜小孩,957-621-821-7,1-2櫃（三大家）,https://imgs.cwgv.com.tw/books/BSF/BSF007/cover/thumb/BSF007.png
達文西密碼,957-13-4164-9,艾波小姐,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/026/58/0010265883.jpg&v=5b167445k&w=375&h=375
遊戲人生1~9,很多本（放在大書櫃）,未知,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/074/17/0010741794.jpg&v=5878ac38k&w=375&h=375
連結 讓60億人串再一起的無形網路,978-986-417-185-9,艾波小姐,https://media.taaze.tw/showProdImage.html?sc=11100222188&width=200&height=283
通往女人國度之門,986-7399-48-X,公關－會長－美工用具,https://s.eslite.dev/Upload/Product/200902/o/633694250308841250.jpg
迷你裙宇宙海賊,978-657-8661-09-7,大書櫃,https://cdnec.sanmin.com.tw/product_images/957/957866105.jpg
軌道之雲,978-986-94754-9-5,大書櫃,https://s.eslite.dev/upload/product/o/2681495792007/715275.jpg
貓城記,none,公關－會長－美工用具,https://upload.wikimedia.org/wikipedia/zh/b/b6/Catbooks.jpg
豪賭,957-621-260-X,活動新聞福利,https://cdn.readmoo.com/social/cover/8f/cf5blca_460x580.jpg
諸神混亂,957-28449-2-X,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/upload/product/o/2611350999005/ec48873.jpg
誰是機器人,957-751-195-3,公關－會長－美工用具,https://cdnec.sanmin.com.tw/product_images/957/957751195.jpg
記憶裂痕,986-81664-0-3,大書櫃,https://bookcover.yuewen.com/qdbimg/349573/1029208181/300.webp
記憶之塵,978-986-262-014-4,大書櫃,https://s.eslite.dev/Upload/Product/201005/o/634105501714090000.JPG
裸陽,978-986-6651-58-8,1-2櫃（三大家）,https://s.eslite.dev/Upload/Product/200902/o/633710945121421250.JPG
衝上藍天,957-10-3292-1,活動新聞福利,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1501436707i/35856457.jpg
衛斯理回憶錄9背反,978-957-33-2572-7,活動新聞福利,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1626146427i/58546663.jpg
衛斯理回憶錄8乍現,978-957-33-2496-6,活動新聞福利,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1571215360l/52957327.jpg
衛斯理回憶錄7瀰散,978-957-33-2424-9,活動新聞福利,https://s.eslite.dev/Upload/Product/200806/o/633519138726669746.jpg
衛斯理回憶錄2同位,978-957-33-2263-4,活動新聞福利,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1576815996i/49538051.jpg
衛斯理回憶錄1錯構,978-957-33-2224-5,活動新聞福利,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1570957298l/49314611.jpg
螞蟻革命,957-0349-85-9,大書櫃,https://cdn.readmoo.com/social/cover/7a/927fhd1_460x580.jpg
螞蟻時代,957-0349-68-9,大書櫃,https://www.iread.com.tw/ProductFile/T0011100/B000520188/B000520188-B.jpg
螞蟻,957-9184-53-4,大書櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/28/0010922825.jpg&v=62760f18k&w=375&h=375
虐殺器官,978-986-331-755-5,大書櫃,https://upload.wikimedia.org/wikipedia/zh/1/14/虐殺器官_.webp
蘋果核戰 vo.1-vo.3,986-7184-51-3,2-2櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/041/80/0010418017.jpg&v=48f40a1bk&w=250&h=250
藍火星,957-469-523-9,大書櫃,https://img9.doubanio.com/view/subject/l/public/s3609024.jpg
蒼蠅王,957-545-343-3,艾波小姐,https://s.eslite.dev/upload/product/o/2681888834000/20200616061406689750.jpg
萊柏維茲的讚歌,978-986-262-106-6,艾波小姐,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/056/07/0010560780.jpg&v=5061a82bk&w=250&h=250
華龍之宮,978-957-9447-66-9,大書櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/085/27/0010852745_bc_01.jpg&v=5e71a0fek&w=375&h=375
華氏451度,957-33-1336-7,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/upload/product/o/2680685496008/ec585759.jpg
莫羅博士島,986-7124-11-1,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/Upload/Product/201805/o/636633780681023750.jpg
艾西莫夫科普教室 (下),978-986-7001-58-0,艾波小姐,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/036/97/0010369733.jpg&v=466fc739k&w=250&h=250
艾西莫夫科普教室 (上),978-986-7001-56-6,艾波小姐,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/036/97/0010369731.jpg&v=466fc739k&w=250&h=250
艾西莫夫 科普教室 (中),978-986-7001-57-3,艾波小姐,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/036/97/0010369732.jpg&v=466fc739k&w=250&h=250
臺灣科幻文學薪火錄(1956~2005),978-957-11-4532-7,艾波小姐,https://s.eslite.dev/Upload/Product/201902/o/636863457139508750.jpg
臺灣科幻小說選,957-28628-2-0,活動新聞福利,https://cdnec.sanmin.com.tw/product_images/957/957286282.jpg
腦袋裝了2000齣歌劇的人,978-986-216-193-7,艾波小姐,https://imgs.cwgv.com.tw/books/BBP/BBPH01B/cover/thumb/BBPH01B.png
老貓,962-973-154-1,公關－會長－美工用具,https://upload.wikimedia.org/wikipedia/zh/0/01/老貓.JPG
群（上／下）,978-986-6807-05-3,公關－會長－美工用具,https://cdn.readmoo.com/share/cover/hb/blgnodl_460x580.jpg?t=1511319753
美麗新世界,957-545-020-5,公關－會長－美工用具,https://s.eslite.dev/Upload/Product/201905/o/636948020604911250.jpg
美洲來的哥倫布,7-5355-2956-9,活動新聞福利,"https://m.media-amazon.com/images/I/71v+9iG8P1L._AC_UF1000,1000_QL80_.jpg"
繽紛的生命 造訪基因庫的燦爛國度,957-621-381-9,艾波小姐,https://imgs.cwgv.com.tw/books/BCS/BCS032/cover/thumb/BCS032.png
縱橫X檔案 (下),957-98998-9-4,艾波小姐,https://cdn1.kingstone.com.tw/book/images/product/20187/2018740243487/2018740243487b.jpg
縱橫X檔案 (上),957-98998-6-X,艾波小姐,https://media.taaze.tw/showProdImage.html?sc=11100315786&width=200&height=283
綠火星,957-469-432-1,大書櫃,https://s.eslite.dev/upload/product/o/2611259506007/ec71758.jpg
綁架總統,957-8635-92-3,公關－會長－美工用具,https://bookcover.yuewen.com/qdbimg/349573/1035045609/180
索拉力星,978-986-6665-57-8,艾波小姐,https://pic.pimg.tw/sinomuses/fc3dc1c2e8ee1c1a153778b5279de483.jpg
紅火星,957-469-231-0,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/upload/product/o/2611245747001/ec69660.jpg
第五類接觸 世界科幻文學簡史,978-7-5306-5737-9,活動新聞福利,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/073/62/CN10736203.jpg&v=4d8b756bk&w=250&h=250
第五號屠宰場,978-957-708-121-6,艾波小姐,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/071/02/0010710203_b_01.jpg&v=56ebf4e5k&w=375&h=375
第二基地,986-7576-79-9,1-2櫃（三大家）,https://upload.wikimedia.org/wikipedia/zh/thumb/9/96/Second_Foundation_TC_book_cover.jpg/230px-Second_Foundation_TC_book_cover.jpg
童年末日,957-621-731-8,1-2櫃（三大家）,https://cdn.readmoo.com/share/cover/5f/5e73g7b_460x580.jpg?t=1438928777
穿越時空的少女,978-986-6562-19-8,大書櫃,https://image1.gamme.com.tw/news2/2016/55/91/pJyXn6WalKSVqKQ.jpg
穿越時空3000年 (下),957-8635-90-7,艾波小姐,https://s.eslite.dev/upload/product/o/2681294069003/556139.jpg
穿越時空3000年 (上),957-8635-89-3,艾波小姐,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/071/02/0010710222.jpg&v=56ebe6c4k&w=375&h=375
空想科學讀本6,978-957-32-7087-4,艾波小姐,https://s.eslite.dev/Upload/Product/201211/o/634890834752055000.jpg
空想科學讀本4,978-957-32-6750-8,艾波小姐,https://s.eslite.dev/upload/product/o/2680555565001/78225.jpg
空想科學讀本3,978-957-32-6708-9,艾波小姐,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675883939i/37788385.jpg
空想科學讀本2,957-32-5583-9,艾波小姐,https://cdn.readmoo.com/share/cover/60/9037gff_460x580.jpg?t=1438844334
空想科學讀本2,978-957-32-6642-6,艾波小姐,https://cdn.readmoo.com/cover/ha/l8iioca_460x580.jpg?v=1657871737
空想科學讀本1,978-957-32-6641-9,艾波小姐,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/047/02/0010470262_bc_01.jpg&v=4e2d3abfk&w=375&h=375
空想科學讀本,957-32-4964-2,艾波小姐,https://s.eslite.dev/upload/product/o/2680655396000/133185.jpg
秦始皇到臺灣神秘事件,957-8557-59-0,公關－會長－美工用具,https://media.taaze.tw/showThumbnailByPk.html?sc=1000065328&height=500&width=520
科幻電影的預言與真實,9.78987E+12,大書櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/11/0010791134_bc_01.jpg&v=5b2cecadk&w=375&h=375
科幻研究學術論文集,9572844738-4,大書櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/050/16/0010501611.jpg&v=54059c5ak&w=250&h=250
科幻文學論鋼,978-7-229-03878-6,艾波小姐,https://www.airitibooks.com/ABCUpLoad/9787568923194.jpg
科幻文學解構,978-957-43-1250-4,大書櫃,https://www.silkbook.com/mall_image/bk/kk0378674.jpg
科幻文學概論,957-11-2503-2,艾波小姐,https://cdnec.sanmin.com.tw/product_images/957/957112503.jpg
科幻故事大世界 世界著名科幻故事集,7-5007-3751-3,活動新聞福利,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/129/18/CN11291874.jpg&v=5649b034k&w=375&h=375
科幻世界的哲學凝視,957-14-4614-9,不明,https://cdnec.sanmin.com.tw/product_images/957/957144614.jpg
科幻世界 增刊 30周年紀念,None,活動新聞福利,"https://m.media-amazon.com/images/I/41dYlBAKpIL._AC_UF1000,1000_QL80_.jpg"
科幻世界 2010.3,None,雜誌櫃（2-1）,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350.jpg
科幻世界 2010.2,None,雜誌櫃（2-1）,https://img12.360buyimg.com/n1/jfs/t1/142587/10/2842/82215/5f0d6d18Ec54ff232/e104494968293bc2.jpg
科學怪人 FRANKENSTEIN,NONE,小書櫃（被遺忘的原文書）,https://cdn.readmoo.com/cover/a7/g6a8i84_460x580.jpg?v=1625159169
科學怪人,957-05-1550-3,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/Upload/Product/201901/o/636837426536214208.jpg
科學怪人,957-545-703-X,艾波小姐,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/055/74/0010557485.jpg&v=503ca269k&w=375&h=375
秋葉原@DEEP,986747590-9,大書櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/032/79/0010327939.jpg&v=446a2469k&w=250&h=250
萬世姻緣,957-33-1846-6,公關－會長－美工用具,https://www.iread.com.tw/ProductFile/T0000300/B000023942/B000023942-B.jpg
禁書啟示錄,957-708-493-1,大書櫃,https://cdn.cite.com.tw/images/r/RN3005C.jpg
神經喚術士,978-98680490-6,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/Upload/Product/201910/o/637081075331716250.jpg
神糧,7-220-03696-5,活動新聞福利,https://www.2015txt.com/uploads/cover/8670s.jpg
神秘島,986-124-448-4,大書櫃,https://bookcover.yuewen.com/qdbimg/349573/1033210178/300
祖國 真相大白,978-986-6702-11-2,大書櫃,https://media.taaze.tw/showProdImage.html?sc=11100158354&width=200&height=283
碎片之島,978-986-133-341-0,大書櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/120/45/CN11204507.jpg&v=54d9b3cbk&w=375&h=375
石油用完了怎麼辦？15堂你不知道的科學課,978-986-7001-86-3,大書櫃,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/067/39/0010673978.jpg&v=55420491k&w=375&h=375
